hash,prediction
8caa31bd5896b461afec93562ebc61f6e73fcade790237d3ea428f8b170cdfe9,Legal
e3fd21a8ab3b08b49b2bcbd8513ee46fc401c203cf55f00a4e3720d0083cb4f4,Legal
e5867d9dd7de17b56461ea0b59dd34801b433f20d958dc246b5f1b85400d6aa0,Legal
1b6c24edc2aa075bf1297f57ec6726a377f133355609e995fbec0a1966c8633f,Legal
2573a4497fafdfeb407bae2e2d3053782b6e5d3ef3cd3ce44472c3964935bb33,Legal
16eb51f39ed38cbbb5a80da1830d03aeb84986d23a9b4f84942e0cbdd959c9ef,Legal
9cdc261ee73f6edf044194e6ca7317ececbb3b4d7d0033d8957184b168763d85,Legal
203e6f44cae9d862ec917ad6f37e35f0b28cbe78269924bc4de6888f0fdbf247,Legal
4cbb798f1acde5960bd242da8b7aac6927837f7abf9021f95cbb24d3f10a19de,Legal
f2860621a94743d14df737002e9aff252c179c3a4e4f1b6e8f600b7f3332bb72,Legal
ec192477cfdd3b51bd375d528e1b8423b07fc9bc36502cbd1ac1361a3bb038e4,Legal
5960317646c60646311175e742fe14d646f8b4a6ec4da78b052543061a6b09bb,Legal
de27913d502efe26b50849e57a0dc2b710437d3550e861570ee0e1223deff6d3,Legal
3c26b19496560b2d51f598368443a4e194d60a6a07dff0f5763979236406a3c6,Legal
4612f5e960bf770528210833beb8693699cd53323da72fb38d62b6e766c44b44,Legal
d3143a7528fece3e0a3a09ddc97b693239dbb0e417991c00dfcce60dbaf09073,Legal
f18306f66a191b14d4cf5e8f16c46c47ef0b31ba61f954d075960db81f08fa90,Legal
4de9b311befe5c459bd4d8758493b5ad45d51dbda332bea7878e49621851704f,Legal
be7a6ed0bff618a84461a61d1a677ea00bffb973c5cb293ad95e4fae12ba7146,Legal
dd4de912206b2046031e1a2f127836a5ffdd4fbef289a231ae15aed809e60de6,Legal
be3a91b718e8943e18258b1bc2ff12a592db3fce0dfa0285768f1c16bd7c4012,Legal
f482d5d82fd654abbc1b234b901ea5022797d403b0fd26f2f9b3e549ef11d240,Legal
76e30542b6fd04eb4ea17c6262fd19beb5ac99c5d37dd84532eb9549bee62a05,Legal
26d72f8d8a8c3169a52d020532b4d5b257c1262689c12bc5e61981c16e29eb79,Legal
1416fc08d6fce6a9a5790952e16807ae46edabfc2e13e27a47a0f574336675e9,Legal
a4206bae5189e3875133e8f1aaa03d0e4eb428898bed25e432ae601a697993b5,Legal
69201481d87805c0199d2453ed0cda09df8fbf73fb4c79204a19b178d18e1add,Legal
1bcd07cf096bd1e13925e52b778dfa94a9854496069f09bf6653fed1c2f43aba,Legal
068f601af9d2fad0067939528e118a66b18824b1fed3f2d059570b8d67e3146b,Legal
0fa1435aee87dc9f20517c04aef0a228d35cfc3a4d1e188e2a9a380819dd23e0,Legal
8c087822b7555b973fe54df9a993f5c41f556c907c4d8b56b1e3f80283598dbf,Legal
a285dcfb94d492ba7dddba2fd416a91f5ce2d1169ec908873b3edd86a783de57,Legal
1d85d9ff4a88f3e33f34c7cbbd91b851f699f0c6613d614463f1ec04ad456765,Legal
90393cbbb4d80c9c9588922c25e8db36e05cff03ea13e8e8d66c6f61c9af728e,Legal
b2c8f8f21dcd41b986d669b87ddf8ef7ba9f4e4c4f71a640b9d3e7ad15c17e01,Legal
8fd753f5bbbbeb8b6be6191fd1d4cf26b212aefa12d603a9fcffe28c13e373f0,Legal
f9ebd95cdc0c93357c89a81c7b43545bdc1a7c7943bc6b5a7fa4f5112b5bd7a1,Legal
96f12126aa28fb64ec85704f471a5966f1b3d1eeedbb2cc5418996210d00e1b6,Legal
dadb675f153e867f6fc420cb6a2317dd9971ceba43a31bf2dc230c2a691c3a62,Legal
259799b08652ad1affe863623987d0eb7b63ec0d42e8638c9fefa80155477832,Legal
e7c2699235cfb751e2baaac22af16c42d94e05cc653e1e1ff8995965a954b2cf,Legal
e0d475260d0ad47357a540fcde0f2503cdeebb23b752951c86c145f2b7204707,Legal
e5146af266518d438047d1982ff420dd6cc9b59acd64d198d956c0443857c071,Legal
3c7a365d49014fc1566ed69cbd9e7b1b1b60a23a37074e7c6804bd9d203a3e3f,Legal
8314a9ebfe35697cc79b4b155f63bab2d29dbe4af406f653b9b5d283b802962c,Legal
a741eb7b9d98144bb5e65b4e5d13766411d16caa858931be7dd436cbd7433a24,Legal
eed5e847f05e424efb2b707dd840743729744ed4307aa55ab6a79baf6c7c1b34,Legal
807c238114b300c427995df1434090e4b66dd4135859b169bcd4fe62453d2b58,Legal
2aa89d6c790b0c57060b340e6d3c227e45bb18e223146244e7854f0be4604011,Legal
da1994334822e691cc00947161dc43ee7be7fc2916b837a51934644be32fcf60,Legal
8857bc57f978bc129decb9cf86fd517b82b5decceddb747e493e9e3425bdf7f6,Legal
c73003feb54f9c16f430b589cd7245d6540da8322446a766886e9403546a0b18,Legal
d2d902c5a8a575b25df903cb79b87b33e08874ce26a87c3d824b0e8303564546,Legal
28e25e87d9cb3d549f2e56eda07b0e91fe742aeeda0a3592ba6dec2d54e19a11,Legal
1cfded078b56711f2223f51d4792dfa70489ed6578e01400bd7783e8240a87e1,Legal
5e7bb756672e5e6e400084bb55a6a92d769eeabd81e2ece747f9fb0cf606dc1b,Legal
95cf06d0eeeaefa92e9243a129ae847b9debc2da5207f686a4543101eced509b,Legal
60200fbc6fe8a200ba41dc71303864508c3e88030298f69b173adb8ae06e7623,Legal
a0648999c9343be89d73c1388d080766672802f2f4d810d8f82834918aaa1f5b,Legal
4971cd04d7af73747a83121b6e143aaff15dbe2bafd74744e6fbb613d7c81e3f,Legal
674ba2fb688fd13aaa74ae07610fcfd82e689b6466a03aeda17119dc1343bcd5,Legal
183765ee4d4cce69d479a35b13dbefa029d2fd35e75bfdc30cff7b1af090bcb4,Legal
4d1f44b07913aacc671022979f6862f4fffcb81a2a37cacd143e3d91d4a40cbc,Legal
f3a7d5d93feb56dbe360e0f3fe815eb054fe9afa6a33db903e49f15013e52adb,Legal
42b6d8f57e0761225d6c4dca9530a41c4ba916924cb965a669e51a510d6ca9b5,Legal
40584a9cdcb3875aeb634134a7f1087b232924799612a1c921eae18517757dff,Legal
b3adc6bb8821a825f6ef1ae76af4296ac5c349d361784475d8ceea556eba9283,Legal
7e0c20c02967ea21e22262ebca7b9f46e98802763b145c139c3cd84a108b7e2c,Legal
34e486945103332c2aa5000218db039a1b678239c0d1b5c8762de502e887be45,Legal
0557c027fe7c06cf60fcb5be354f2016836b11def9200bbe99455e2147a77ee6,Legal
a360455ac1f60754eb228d9529c81639e6bc38ea57d81ee5a8c77e899810d530,Legal
6308c1deb7dd1d9b309b594e8e46f0d0cec28dd0015537d18904d33292507041,Legal
409fb49649d883ed4ee046b6b03cc681c999bfecb0300c7f2770397dc50509e4,Legal
5ce8054484ec398520073c228f93192c14d5ab4220b90fccdcb40fff7375f328,Legal
b431415234728d78e4cdc2752c262f618808780a4af34aae53794a2dc913cd30,Legal
679b02e49440442b3ae4368b6594d27c21dd57d5db6c680f24877c54abad2bde,Legal
19e137da780f3e0301dce23913b3e547b203532213480da3a70de0bb96c0c584,Legal
f691b2be0a8733554bb38d6059babd9b4cf17cdcd1eb4f9909fae99710a7c83c,Legal
26edeba675e67aa8485f0cdcc0b0d78bc5e2d47981d1af1bade836f61bc79845,Legal
debcfe57fae69c967264062b9e2708491d3d3750937b40f6d40eb8bd78602210,Legal
58fbb635d2414ab0c923a0d6dad8acb1fd8754b5943e8a730cb578729e3e69a9,Legal
37b59eb30072cf07ef5d4fb1835f2f2738ac33ef1f192046ed1c5c6390658fe0,Legal
b5e7b366b772295f769f817cb70f081b6353a3f02fafebf0226364d0bb33482b,Legal
69aff3b25105c363769d1863fcec980883bd24aa68cc0127a29e77adb1a72b1c,Legal
70d5157dce1ec89856fd7cbb2dd73990ce14eb28844e7d269769b9e5a75929c6,Legal
bd195e859e01834456d6243abc38a0447d8c56d6bcf36707f126ea8a15ceff76,Legal
1f2078a2efd8578dc6cc6cc87cb755fa51a2cf01de1605d5303bccfbc42908fa,Legal
67c8783a75b3115cc0b449cd972c59600f4d53dd21174b594a3bfb47b938a551,Legal
cd64bcd03f5da28169a2ce4e58f303554d319efd5d7ac0ef4477c43ca50b2607,Legal
92502b3ade7746ec4e4095394178d2bff32cf6a8cea36e326f7eca4c93f88c95,Legal
c4a8f796b6064c30d5b6e3d6f28f6215cd7b21d51f6e1306acc007b04bdb9869,Legal
fd9e2f72fc84b3fb7ca6860f54c72e2dcc3125754f12a0b4d1ff63bb7a697852,Legal
3b9005e6626abdc22e47fa4d43bdae7d3c565bb9c34045d3d03cf80871a44990,Legal
c625e61e3c553d7b1f4a35be9f6209c07fdff5d05175d5155fc815ded7666f4f,Legal
ccfeb559b3026a1246254fea95e1b2a88666e457ed9a6c7a28b099711350b84f,Legal
3d9ac2e468729ad68e0e129aa96a951bafa4bdfae0c010e1df24d0c41da3e075,Legal
f7a6ae48aced3d7bf2d45cef46be4c964ea7723713ba1ebf840bfdc7a2b6cf82,Legal
af85b4269b5b7bd2b3380822a9fe74a3052e7a50254a802e4d17dbf7712152ad,Legal
